file,t_epoch,session_day,display_epoch,window_start_ms,n_in_segment,role,flag,peak,temperature_C,power_mW,snr,peak_pos_ms,offset_mhz,offset_err_mhz,status
quarantine/4154nm_eom_before1.csv,1752760092,20286,0,-456.0,5,quarantine,quarantined,4154,130,,97.74587089128632,45.0,-6.612869079025267,0.18650244341764838,DIAGNOSTIC
quarantine/4154nm_eom_before2.csv,1752760150,20286,0,-456.0,5,quarantine,quarantined,4154,130,,114.53714324471704,200.5,0.0,0.0,DIAGNOSTIC
quarantine/4154nm_eom_before3.csv,1752760158,20286,0,-456.0,5,quarantine,quarantined,4154,130,,128.0613180949979,260.0,2.530326110623816,0.07136267127556321,DIAGNOSTIC
quarantine/4154nm_eom_before4.csv,1752760170,20286,0,-456.0,5,quarantine,quarantined,4154,130,,98.30776471050639,-104.0,-12.949315977898353,0.3652089647631764,DIAGNOSTIC
quarantine/4154nm_eom_before5.csv,1752760180,20286,0,-456.0,5,quarantine,quarantined,4154,130,,109.29252365498965,255.0,2.317693664352907,0.06536580814316294,DIAGNOSTIC
quarantine/4154nm_130c_225mw1.csv,1752760668,20286,1,-465.5,14,quarantine,quarantined,4154,130,225,165.50445081167942,32.5,-0.031894866940636334,0.0008995294698600405,DIAGNOSTIC
quarantine/4154nm_130c_225mw2.csv,1752760690,20286,1,-465.5,14,quarantine,quarantined,4154,130,225,188.00395702792244,32.0,-0.05315811156772723,0.0014992157831000674,DIAGNOSTIC
quarantine/4154nm_130c_225mw3.csv,1752760702,20286,1,-465.5,14,quarantine,quarantined,4154,130,225,192.0919863975311,33.0,-0.010631622313545445,0.0002998431566200135,DIAGNOSTIC
quarantine/4154nm_130c_225mw4.csv,1752760710,20286,1,-465.5,14,quarantine,quarantined,4154,130,225,174.11201435601905,33.5,0.010631622313545445,0.0002998431566200135,DIAGNOSTIC
quarantine/4154nm_130c_225mw6.csv,1752760722,20286,1,-465.5,14,quarantine,quarantined,4154,130,225,187.9709222818148,33.0,-0.010631622313545445,0.0002998431566200135,DIAGNOSTIC
quarantine/4154nm_130c_225mw7.csv,1752760732,20286,1,-465.5,14,quarantine,quarantined,4154,130,225,169.01712407035922,33.0,-0.010631622313545445,0.0002998431566200135,DIAGNOSTIC
quarantine/4154nm_130c_125mw1.csv,1752761054,20286,1,-465.5,14,quarantine,quarantined,4154,130,125,165.44159211695063,39.0,0.24452731321154525,0.00689639260226031,DIAGNOSTIC
quarantine/4154nm_130c_125mw2.csv,1752761062,20286,1,-465.5,14,quarantine,quarantined,4154,130,125,160.48749077544718,35.5,0.09568460082190901,0.0026985884095801216,DIAGNOSTIC
