kind,observable,signal,noise,ratio,units,verdict,status
observable,total_fwhm,0.0912761,0.0153083,5.96251,ln_range_vs_rel_scatter,MARGINAL,DIAGNOSTIC
observable,gamma_coll,0.41455,0.151302,2.73988,ln_range_vs_rel_scatter,CANNOT_RESOLVE,DIAGNOSTIC
observable,sigma_laser,0.346224,0.153236,2.25941,ln_range_vs_rel_scatter,CANNOT_RESOLVE,DIAGNOSTIC
observable,amplitude,4.22658,0.093702,45.1066,ln_range_vs_rel_scatter,RESOLVES,DIAGNOSTIC
projection,archival,0.02,0.0821784,0.243373,MHz,PLAN_8_projection,DIAGNOSTIC
projection,hot_only_low,0.07,0.0821784,0.851805,MHz,PLAN_8_projection,DIAGNOSTIC
projection,hot_only_high,0.25,0.0821784,3.04216,MHz,PLAN_8_projection,DIAGNOSTIC
projection,both_low,0.07,0.0205446,3.40722,MHz,PLAN_8_projection,DIAGNOSTIC
projection,both_high,0.25,0.0205446,12.1686,MHz,PLAN_8_projection,DIAGNOSTIC
assumption,s0_block_scatter_averages_down,1.54208,1.90408,0.21185,variance_reduction_vs_permutation_null,UNTESTABLE_HERE,DIAGNOSTIC
